0^ЕГРЮЛ^Level 0 
1^ЕГРЮЛ^СвЮЛ^Level 1 
2^ЕГРЮЛ^СвЮЛ^@ДатаВып^Level 2 
3^ЕГРЮЛ^СвЮЛ^@ДатаВып^2025-08-03^Level 2 
4^ЕГРЮЛ^СвЮЛ^@ОГРН^Level 2 
5^ЕГРЮЛ^СвЮЛ^@ОГРН^1020700588688^Level 2 
6^ЕГРЮЛ^СвЮЛ^@ДатаОГРН^Level 2 
7^ЕГРЮЛ^СвЮЛ^@ДатаОГРН^2002-09-19^Level 2 
8^ЕГРЮЛ^СвЮЛ^@ИНН^Level 2 
9^ЕГРЮЛ^СвЮЛ^@ИНН^0705000017^Level 2 
10^ЕГРЮЛ^СвЮЛ^@КПП^Level 2 
11^ЕГРЮЛ^СвЮЛ^@КПП^070501001^Level 2 
12^ЕГРЮЛ^СвЮЛ^@СпрОПФ^Level 2 
13^ЕГРЮЛ^СвЮЛ^@СпрОПФ^ОКОПФ^Level 2 
14^ЕГРЮЛ^СвЮЛ^@КодОПФ^Level 2 
15^ЕГРЮЛ^СвЮЛ^@КодОПФ^12247^Level 2 
16^ЕГРЮЛ^СвЮЛ^@ПолнНаимОПФ^Level 2 
17^ЕГРЮЛ^СвЮЛ^@ПолнНаимОПФ^Публичные акционерные общества^Level 2 
18^ЕГРЮЛ^СвЮЛ^СвНаимЮЛ^Level 2 
19^ЕГРЮЛ^СвЮЛ^СвНаимЮЛ^@НаимЮЛПолн^Level 3 
20^ЕГРЮЛ^СвЮЛ^СвНаимЮЛ^@НаимЮЛПолн^ААКЦИОНЕРНОЕ ОБЩЕСТВО "ТЕРСКИЙ ЗАВОД АЛМАЗНОГО ИНСТРУМЕНТА"^Level 3 
21^ЕГРЮЛ^СвЮЛ^СвНаимЮЛ^ГРНДата^Level 3 
22^ЕГРЮЛ^СвЮЛ^СвНаимЮЛ^ГРНДата^@ГРН^Level 4 
23^ЕГРЮЛ^СвЮЛ^СвНаимЮЛ^ГРНДата^@ГРН^2150724034855^Level 4 
24^ЕГРЮЛ^СвЮЛ^СвНаимЮЛ^ГРНДата^@ДатаЗаписи^Level 4 
25^ЕГРЮЛ^СвЮЛ^СвНаимЮЛ^ГРНДата^@ДатаЗаписи^2015-06-09^Level 4 
26^ЕГРЮЛ^СвЮЛ^СвНаимЮЛ^СвНаимЮЛСокр^Level 3 
27^ЕГРЮЛ^СвЮЛ^СвНаимЮЛ^СвНаимЮЛСокр^@НаимСокр^Level 4 
28^ЕГРЮЛ^СвЮЛ^СвНаимЮЛ^СвНаимЮЛСокр^@НаимСокр^ААО "ТЕРЕКАЛМАЗ"^Level 4 
29^ЕГРЮЛ^СвЮЛ^СвНаимЮЛ^СвНаимЮЛСокр^ГРНДата^Level 4 
30^ЕГРЮЛ^СвЮЛ^СвНаимЮЛ^СвНаимЮЛСокр^ГРНДата^@ГРН^Level 5 
31^ЕГРЮЛ^СвЮЛ^СвНаимЮЛ^СвНаимЮЛСокр^ГРНДата^@ГРН^2150724034855^Level 5 
32^ЕГРЮЛ^СвЮЛ^СвНаимЮЛ^СвНаимЮЛСокр^ГРНДата^@ДатаЗаписи^Level 5 
33^ЕГРЮЛ^СвЮЛ^СвНаимЮЛ^СвНаимЮЛСокр^ГРНДата^@ДатаЗаписи^2015-06-09^Level 5 
34^ЕГРЮЛ^СвЮЛ^СвАдресЮЛ^Level 2 
35^ЕГРЮЛ^СвЮЛ^СвАдресЮЛ^@ВидАдрКлассиф^Level 3 
36^ЕГРЮЛ^СвЮЛ^СвАдресЮЛ^@ВидАдрКлассиф^2^Level 3 
37^ЕГРЮЛ^СвЮЛ^СвАдресЮЛ^АдресРФ^Level 3 
38^ЕГРЮЛ^СвЮЛ^СвАдресЮЛ^АдресРФ^@Индекс^Level 4 
39^ЕГРЮЛ^СвЮЛ^СвАдресЮЛ^АдресРФ^@Индекс^361202^Level 4 
40^ЕГРЮЛ^СвЮЛ^СвАдресЮЛ^АдресРФ^@КодРегион^Level 4 
41^ЕГРЮЛ^СвЮЛ^СвАдресЮЛ^АдресРФ^@КодРегион^07^Level 4 
42^ЕГРЮЛ^СвЮЛ^СвАдресЮЛ^АдресРФ^@КодАдрКладр^Level 4 
43^ЕГРЮЛ^СвЮЛ^СвАдресЮЛ^АдресРФ^@КодАдрКладр^070060010000033^Level 4 
44^ЕГРЮЛ^СвЮЛ^СвАдресЮЛ^АдресРФ^@Дом^Level 4 
45^ЕГРЮЛ^СвЮЛ^СвАдресЮЛ^АдресРФ^@Дом^ЗД. 1^Level 4 
46^ЕГРЮЛ^СвЮЛ^СвАдресЮЛ^АдресРФ^Регион^Level 4 
47^ЕГРЮЛ^СвЮЛ^СвАдресЮЛ^АдресРФ^Регион^@НаимРегион^Level 5 
48^ЕГРЮЛ^СвЮЛ^СвАдресЮЛ^АдресРФ^Регион^@НаимРегион^КАБАРДИНО-БАЛКАРСКАЯ РЕСПУБЛИКА^Level 5 
49^ЕГРЮЛ^СвЮЛ^СвАдресЮЛ^АдресРФ^Район^Level 4 
50^ЕГРЮЛ^СвЮЛ^СвАдресЮЛ^АдресРФ^Район^@ТипРайон^Level 5 
51^ЕГРЮЛ^СвЮЛ^СвАдресЮЛ^АдресРФ^Район^@ТипРайон^Р-Н^Level 5 
52^ЕГРЮЛ^СвЮЛ^СвАдресЮЛ^АдресРФ^Район^@НаимРайон^Level 5 
53^ЕГРЮЛ^СвЮЛ^СвАдресЮЛ^АдресРФ^Район^@НаимРайон^ТЕРСКИЙ^Level 5 
54^ЕГРЮЛ^СвЮЛ^СвАдресЮЛ^АдресРФ^Город^Level 4 
55^ЕГРЮЛ^СвЮЛ^СвАдресЮЛ^АдресРФ^Город^@ТипГород^Level 5 
